pmid,pmcid,title,journal,insert_time,has_targz
23984252,PMC3752494,Verrucous trichoadenoma - presenting as discharging sinus on face.,Indian Dermatol Online J,2023-12-17-22-03-29,True
26392663,PMC4555908,A rare case of trichoadenoma over the vulva.,Indian J Sex Transm Dis AIDS,2023-12-17-22-03-29,True
26734858,PMC4689065,Benign follicular tumors.,An Bras Dermatol,2023-12-17-22-03-29,True
29118524,PMC5655628,Collision Tumor between Trichofolliculoma and Melanocytic Nevus.,Int J Trichology,2023-12-17-22-03-29,True
